model,accuracy,f1_score
Linear SVM + TF-IDF,0.9405650709998536,0.9389473684210526
Logistic Regression + TF-IDF,0.9347094129702825,0.9332335329341317
Multinomial NB + TF-IDF,0.9314888010540184,0.9286585365853659
Random Forest + TF-IDF,0.9004538134972918,0.9002347417840375
XGBoost + TF-IDF,0.8798126189430537,0.8838919530476594
