model,accuracy,f1_score
Linear SVM + TF-IDF,0.9732103645147123,0.9724023525863369
XGBoost + TF-IDF,0.9657444005270093,0.9650224215246637
Logistic Regression + TF-IDF,0.9634021373151808,0.9626196172248804
Multinomial NB + TF-IDF,0.9620846142585273,0.960739730180385
Random Forest + TF-IDF,0.9502269067486458,0.9498820754716981
