model,accuracy,f1_score
Linear SVM + TF-IDF,0.9494949494949495,0.9479402444545043
Logistic Regression + TF-IDF,0.9461279461279462,0.9449101796407186
Multinomial NB + TF-IDF,0.9414434197042892,0.9386503067484663
Random Forest + TF-IDF,0.918020787586005,0.9180327868852459
XGBoost + TF-IDF,0.9079197774849949,0.9090646233916437
