model,accuracy,f1_score
Linear SVM + TF-IDF,0.9437856829161178,0.9420814479638009
Logistic Regression + TF-IDF,0.9361733274776753,0.9348281016442451
Multinomial NB + TF-IDF,0.9332454984628897,0.9302325581395349
Random Forest + TF-IDF,0.8986971160884204,0.8990665110851809
XGBoost + TF-IDF,0.876299224125311,0.8807339449541285
