model,accuracy,f1_score
Linear SVM + TF-IDF,0.9556433904259991,0.9542779538252603
Logistic Regression + TF-IDF,0.9467135119309033,0.9456391875746715
Multinomial NB + TF-IDF,0.942321768408725,0.9399390243902439
Random Forest + TF-IDF,0.9118723466549553,0.9130811435171816
XGBoost + TF-IDF,0.9038208168642952,0.9063702436938863
