model,accuracy,f1_score
Linear SVM + TF-IDF,0.9511052554530816,0.94980462879471
Logistic Regression + TF-IDF,0.9443712487190749,0.9433512224209899
Multinomial NB + TF-IDF,0.940272288098375,0.9372886566246542
Random Forest + TF-IDF,0.9169960474308301,0.9170688898639754
XGBoost + TF-IDF,0.9121651295564339,0.9131944444444444
